;title;price;post link;image link;location
0;Peugeot 504 2.3 Xsd Tf;6.500;https://auto.mercadolibre.com.ar/MLA-1479386038-peugeot-504-23-xsd-tf-_JM#position=1&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_732808-MLA70079099911_062023-W.jpg;Pilar - Bs.As. G.B.A. Norte
1;Peugeot 504 2.3 Xsd Tf;5.600;https://auto.mercadolibre.com.ar/MLA-1385976339-peugeot-504-1996-23-xsd-tf-_JM#position=2&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_729090-MLA71412754596_092023-W.jpg;Capital Federal - Capital Federal
2;Peugeot 504 2.0 Sr Ii;5.500;https://auto.mercadolibre.com.ar/MLA-1483764102-peugeot-504-1991-20-sr-ii-_JM#position=3&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_833229-MLA71331691431_082023-W.jpg;San Miguel - Bs.As. G.B.A. Norte
3;Peugeot 504 2.3 Pick Up Gr 5 Vel;2.700.000;https://auto.mercadolibre.com.ar/MLA-1493468162-peugeot-504-1994-23-pick-up-gr-5-vel-_JM#position=4&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_778861-MLA71471916493_092023-W.jpg;Capital Federal - Capital Federal
4;Peugeot 504 Sriid;3.300.000;https://auto.mercadolibre.com.ar/MLA-1485843792-peugeot-504-sriid-_JM#position=5&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_822930-MLA70748877670_072023-W.jpg;Escobar - Bs.As. G.B.A. Norte
5;Peugeot 504 2.0 Xs Tf;1.800.000;https://auto.mercadolibre.com.ar/MLA-1384021585-peugeot-504-1994-20-xs-tf-_JM#position=6&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_833217-MLA71163190958_082023-W.jpg;Lanús - Bs.As. G.B.A. Sur
6;Peugeot 504 Srd;450.000;https://auto.mercadolibre.com.ar/MLA-1386246445-peugeot-504-srd-_JM#position=7&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_786526-MLA71482394231_092023-W.jpg;San Carlos - Mendoza
7;Peugeot 504 2.3 Xsd Tc;5.800;https://auto.mercadolibre.com.ar/MLA-1451958238-peugeot-504-1996-23-xsd-tc-_JM#position=8&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_622523-MLA54456986576_032023-W.jpg;San Luis - San Luis
8;Peugeot 504 2.0 Pick Up Gd;2.200.000;https://auto.mercadolibre.com.ar/MLA-1383401807-peugeot-504-1993-20-pick-up-gd-_JM#position=9&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_724402-MLA71104759745_082023-W.jpg;La Matanza - Bs.As. G.B.A. Oeste
9;Peugeot 504 2.0 Xs Tf;3.500.000;https://auto.mercadolibre.com.ar/MLA-1508226712-peugeot-504-_JM#position=10&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_798264-MLA71651178008_092023-W.jpg;Córdoba - Córdoba
10;Peugeot 504 2.3 Xsd Tf;1.300.000;https://auto.mercadolibre.com.ar/MLA-1384228975-peugeot-504-xsd-diesel-1997-_JM#position=11&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_847070-MLA54951681189_042023-W.jpg;La Matanza - Bs.As. G.B.A. Oeste
11;Peugeot 504 2.0 Gd Aa;4.990;https://auto.mercadolibre.com.ar/MLA-1486966622-peugeot-504-1998-20-gd-aa-_JM#position=12&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_833306-MLA50236967439_062022-W.jpg;General San Martín - Bs.As. G.B.A. Norte
12;Peugeot 504 2.3 Xsd Tf;5.500;https://auto.mercadolibre.com.ar/MLA-1383944577-peugeot-504-1996-23-xsd-tf-_JM#position=13&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_745234-MLA70351028026_072023-W.jpg;Merlo - Bs.As. G.B.A. Oeste
